Property Type Cleaned,Area Cleaned,ClubHouse Cleaned,School Cleaned,Hospital Cleaned,Mall Cleaned,Park Cleaned,Pool Cleaned,Gym Cleaned,Price by sub-area,Amenities score,Price by Amenities score,Noun_Counts,Verb_Counts,Adjective_Counts,bedroom apartment,boasts elegant,elegant towers,great community,mantra gold,offering bedroom,project boasts,project offers,stories offering,towers stories
1.0,492.0,1,1,1,1,1,1,1,58.044000000000004,7,72.66666666666667,13,7,2,0,0,0,0,0,0,0,0,0,0
2.0,774.0,1,1,1,1,1,1,1,58.044000000000004,7,72.66666666666667,10,5,2,0,0,0,0,0,0,0,0,0,0
3.0,889.0,1,1,1,1,1,1,1,58.044000000000004,7,72.66666666666667,12,6,2,0,0,0,0,0,0,0,0,0,0
3.0,1018.0,1,1,1,1,1,1,1,58.044000000000004,7,72.66666666666667,12,4,2,0,0,0,0,0,0,0,0,0,0
2.0,743.0,1,1,1,1,1,1,1,73.55555555555556,7,72.66666666666667,14,2,6,0,0,0,0,0,0,0,0,0,0
3.0,975.0,1,1,1,1,1,1,1,73.55555555555556,7,72.66666666666667,7,4,2,0,0,0,0,0,0,0,0,0,0
2.0,894.5,1,0,0,0,1,1,1,83.75,4,98.58288659793813,13,5,3,1,1,1,1,0,1,1,0,1,1
3.0,1174.5,1,0,0,0,1,1,1,83.75,4,98.58288659793813,14,5,3,1,1,1,1,0,1,1,0,1,1
2.0,905.0,1,0,0,0,1,1,1,86.58333333333333,4,98.58288659793813,17,5,5,0,0,0,0,0,0,0,1,0,0
3.0,1125.0,1,0,0,0,1,1,1,86.58333333333333,4,98.58288659793813,10,2,4,0,0,0,0,0,0,0,0,0,0
4.0,1644.0,1,0,0,0,1,1,1,86.58333333333333,4,98.58288659793813,15,4,4,0,0,0,0,0,0,0,0,0,0
5.0,1662.9,1,0,0,0,1,1,1,86.58333333333333,4,98.58288659793813,9,7,7,0,0,0,0,0,0,0,0,0,0
6.0,1662.9,1,0,0,0,1,1,1,86.58333333333333,4,98.58288659793813,13,4,4,0,0,0,0,0,0,0,0,0,0
2.0,753.5,1,0,0,0,1,1,1,132.96499999999997,4,98.58288659793813,13,1,1,0,0,0,0,0,0,0,0,0,0
3.0,1051.0,1,0,0,0,1,1,1,132.96499999999997,4,98.58288659793813,11,2,2,0,0,0,0,0,0,0,0,0,0
1.0,423.0,1,0,0,0,1,1,1,73.55555555555556,4,98.58288659793813,13,3,4,0,0,0,0,0,0,0,0,0,0
2.0,665.0,1,0,0,0,1,1,1,73.55555555555556,4,98.58288659793813,22,3,4,0,0,0,0,0,0,0,0,0,0
3.0,878.5,1,0,0,0,1,1,1,73.55555555555556,4,98.58288659793813,22,2,4,0,0,0,0,0,0,0,0,0,0
1.0,462.0,1,0,0,0,1,1,1,86.58333333333333,4,98.58288659793813,16,7,3,1,1,1,1,0,1,1,0,1,1
2.0,666.0,1,0,0,0,1,1,1,86.58333333333333,4,98.58288659793813,14,1,7,0,0,0,0,0,0,0,0,0,0
2.0,750.0,1,0,0,0,1,1,1,86.58333333333333,4,98.58288659793813,10,4,5,0,0,0,0,0,0,0,0,0,0
3.0,1030.0,1,0,0,0,1,1,1,86.58333333333333,4,98.58288659793813,13,5,6,0,0,0,0,0,0,0,0,0,0
1.0,446.0,1,0,0,0,1,0,1,66.310625,3,69.04065217391305,16,4,6,0,0,0,0,2,1,0,0,0,0
2.0,796.0,1,0,0,0,1,0,1,66.310625,3,69.04065217391305,12,3,4,0,0,0,0,1,1,0,0,0,0
2.0,842.0,1,0,0,0,1,0,1,66.310625,3,69.04065217391305,18,6,5,0,0,0,0,1,0,0,0,0,0
